sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,price,weight,status,visibility,tax_class_name,qty,is_in_stock,url_key,manufacturer,image,small_image,thumbnail,additional_images
2220,Default,simple,"Categorias/Carcaças/Carcaça Painel Inferior",base,"RETROVISOR BIZ 100 CR. REDONDO UNIVERSAL","Retrovisor possui acabamento com injeção interna em ABS; articulação em esfera de aço; ajuste com porca e parafuso; garantia de cromeação; fixação do espelho por contração.","Retrovisor Biz 100 cromado universal.",25.54,0.48,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-biz-100-cr-redondo-universal,"AWA Motos",catalog/products/10751.jpg,catalog/products/10751.jpg,catalog/products/10751.jpg,"catalog/products/10750.jpg,catalog/products/10751.jpg,catalog/products/10752.jpg,catalog/products/11040.jpg"
2246,Default,simple,Categorias/Estribos,base,"RETROVISOR CB 300 MODELO 11 PADRAO YAMAHA DIR/ESQ CROMADO","Retrovisor padrão Yamaha modelo 11 para CB 300 cromado.","Retrovisor CB300 cromado.",41.00,0.60,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-cb-300-modelo-11-padrao-yamaha-dir-esq-cromado,"AWA Motos",catalog/products/11967.jpg,catalog/products/11967.jpg,catalog/products/11967.jpg,"catalog/products/11967.jpg"
501,Default,simple,Categorias/Estribos,base,"RETROVISOR. TITAN 2000 03 D E Awa Motos","Acabamento interno; esfera de aço; ajuste com porca e parafuso; pintura eletrostática; fixação por contração.","Retrovisor Titan 2000.",7.76,0.45,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-titan-2000-03-d-e-awa-motos,"AWA Motos",catalog/products/10798.jpg,catalog/products/10798.jpg,catalog/products/10798.jpg,"catalog/products/10798.jpg,catalog/products/10799.jpg,catalog/products/10800.jpg"
624,Default,simple,"Categorias/Retrovisores/Linha Original",base,"RETROVISOR BIZ 18/20 PADRAO HONDA D/E","Acabamento interno; esfera de aço; ajuste com porca e parafuso; pintura eletrostática; fixação por contração.","Retrovisor Biz 18/20.",0.01,0.40,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-biz-18-20-padrao-honda-d-e,"AWA Motos",catalog/products/11497.jpg,catalog/products/11497.jpg,catalog/products/11497.jpg,"catalog/products/11497.jpg,catalog/products/11498.jpg,catalog/products/11499.jpg"
557,Default,simple,"Categorias/Carcaças/Carcaça Painel Inferior",base,"RETROVISOR XL H. CURTA DT 200 H CURTA PRETO","Acabamento interno; esfera de aço; ajuste com porca e parafuso; pintura eletrostática; fixação por contração.","Retrovisor XL curto preto.",8.10,0.29,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-xl-h-curta-dt-200-h-curta-preto,"AWA Motos",catalog/products/10920.jpg,catalog/products/10920.jpg,catalog/products/10920.jpg,"catalog/products/10920.jpg,catalog/products/10921.jpg,catalog/products/10922.jpg"
549,Default,simple,"Categorias/Carcaças/Carcaça Painel Inferior",base,"RETROVISOR MINI YBR D/E HONDA","Acabamento interno; esfera de aço; ajuste com porca e parafuso; pintura eletrostática; fixação por contração.","Retrovisor mini YBR.",7.75,0.27,1,"Catálogo, Pesquisa","Taxable Goods",1000,1,retrovisor-mini-ybr-d-e-honda,"AWA Motos",catalog/products/10912.jpg,catalog/products/10912.jpg,catalog/products/10912.jpg,"catalog/products/10912.jpg,catalog/products/10913.jpg,catalog/products/10914.jpg"
